,MuseoRegionaldeGuadalajara,MUSAMuseodelasArtesUniversidaddeGuadalajara,MuseodelaCiudaddeGuadalajara,MuseoPalacioOcampo,MuseodePaleontologiadeGuadalajara,MuseodeArtedeZapopan,CasaMuseoLopezPortillo,MuseodelasArtesPopularesdeJalisco,MuseodelEjercitoyFuerzaAerea,MuseoDeSitioDelPalacioDeGobierno,ZoologicoGuadalajara,ElTejaban,AcuariodelZoologicoGuadalajara,Antartidaelreinodelospinguinos,Zoologico,ParqueVillaFantasia,VillaAustraliana,Herpetariolatierradelosreptilesyanfibios,NaturaPet,ZoologicodeEsculturasJuegos,ParqueRevolucion,ParqueMorelos,ParqueAlcalde,ParqueAguaAzul,ParqueExpiatorio,ParquedeLaLiberacion,ParqueSanJacinto,ParqueJardinesdelNilo,ParquelaCalma,ParqueGonzalezGallo,AndaresCentroComercial,ForumTlaquepaque,CentroComercialPlazaPatria,PlazaRealCenter,LaGranPlazaFashionMall,PuntoSur,CentroMagno,CentroSur,CentroComercialPlazaLomas,PlazaGaleriasGuadalajara,HotelRiuPlazaGuadalajara,HyattRegencyAndaresGuadalajara,FiestaAmericanaGuadalajara
ZoologicoGuadalajara,14.59215009,15.95388825,15.17943422,14.93273114,14.68018735,19.21219684,14.60910367,14.52614818,13.22977256,14.59566471,0,12.38821861,18.56498469,15.62429402,15.63610773,18.49134355,8.907289158,9.036268011,16.22295255,14.01206401,15.61041131,13.88428108,14.95002852,14.91568417,15.94830476,14.92760363,11.97183667,12.99895901,22.36791825,13.8865562,21.68398926,12.62805689,17.94031742,23.63796965,20.99093149,26.54209584,18.30450616,21.01130072,13.86996228,23.94859297,19.74697005,21.72000904,19.2165805
ElTejaban,12.21565918,13.56613061,12.79352208,12.5529601,12.36225777,16.88671532,12.22902246,12.14732211,11.12517052,12.22196897,12.38821861,0,11.98144052,12.06980866,13.24812949,16.1705567,12.50384145,12.50735624,13.98562921,11.64936053,13.22370367,11.53151139,12.56274864,12.5780696,13.5610209,12.71410771,13.55468035,14.77710953,19.98100224,11.80803328,19.3448012,11.692954,15.60035335,21.32386715,18.61560857,24.15529867,15.92059329,18.63206576,15.74512847,21.58295392,17.36349675,19.38371832,16.83561494
AcuariodelZoologicoGuadalajara,14.18560032,15.54696628,14.77249218,14.52603835,14.27790276,18.81592449,14.2023675,14.11946609,12.83650206,14.18927615,18.56498469,11.98144052,0,7.94634904,15.22946182,18.0955262,22.44139363,22.53236078,15.83020716,13.60612904,15.20346183,13.47882798,14.54356058,14.51203358,15.54136024,14.53483714,12.1288758,13.23881949,21.96163095,13.50082832,21.28609524,12.31879827,17.54150119,23.24442693,20.58694253,26.13515255,17.89882905,20.60488678,14.14485394,23.54646104,19.34142076,21.32258728,18.81149256
Antartidaelreinodelospinguinos,14.27354718,15.63527712,14.86072031,14.61406269,14.36432787,18.90290216,14.29041715,14.20748378,12.92018807,14.27714482,15.62429402,12.06980866,7.94634904,0,15.31784285,18.18241874,19.5083616,19.58609105,15.91393076,13.69379868,15.29171891,13.56630744,14.63195034,14.59889836,15.62964327,14.61851512,12.08473163,13.1800934,22.05002098,13.58249864,21.37336187,12.3801226,17.6289012,23.33095301,20.67512956,26.2233824,17.98718938,20.69277466,14.07986382,23.63439985,19.42977204,21.40977492,18.89980206
Zoologico,11.11958386,16.72015605,22.0822545,31.57841427,11.33629748,13.82154741,11.08410463,11.1676756,12.68576776,11.13137607,15.63610773,13.24812949,15.22946182,15.31784285,0,13.14703088,15.75147177,15.75541717,11.82864592,11.69783692,12.12385352,11.8372132,27.92914169,11.10462644,17.14245607,11.68426086,16.56229853,17.76074954,16.73365961,12.37369004,16.2036782,13.98484218,12.5343067,18.22277432,15.39283859,20.91377283,12.68234204,15.41924965,18.72813699,18.37424702,14.1237871,16.24907586,13.60342103
ParqueVillaFantasia,14.24883147,12.97026045,13.65772607,13.9421589,14.4731651,29.06203648,14.20679734,14.28646385,15.80377679,14.26532748,18.49134355,16.1705567,18.0955262,18.18241874,13.14703088,0,18.60066916,18.6124119,14.16387375,14.79815902,13.28545761,14.9364899,13.7325973,14.22740676,12.99851321,14.71765345,19.64170666,20.85455441,14.26053088,15.51927444,13.19957995,17.12222231,25.55390609,15.15352235,12.71724795,18.51405914,11.2860304,13.68640167,21.82603637,15.52124273,11.83733947,13.23248963,11.39836466
VillaAustraliana,14.70879284,16.06974668,15.29558011,15.04927379,14.79740577,19.32169463,14.72560834,14.64269918,13.3464199,14.71239356,8.907289158,12.50384145,22.44139363,19.5083616,15.75147177,18.60066916,0,6.402049789,16.3394304,14.12895572,15.72647056,14.00128413,15.06519999,15.03287832,16.06427444,15.04411747,11.95659549,12.95160603,22.48284841,14.00223845,21.79415331,12.73079821,18.05100357,23.74617703,21.10421572,26.65821961,18.41894136,21.12802473,13.80891404,24.06080574,19.86129523,21.82995682,19.33058215
Herpetariolatierradelosreptilesyanfibios,14.70948202,16.07262417,15.29776,15.05029799,14.79388966,19.33327342,14.72676462,14.6437064,13.33902007,14.7127621,9.036268011,12.50735624,22.53236078,19.58609105,15.75541717,18.6124119,6.402049789,0,16.33131342,14.12864973,15.7288659,14.00040155,15.06952977,15.03028813,16.06688683,15.03615925,11.91528129,12.91443686,22.48757727,13.99221544,21.80507677,12.70805254,18.06139105,23.75894711,21.11151085,26.66038724,18.42453212,21.12833172,13.77477799,24.06947302,19.86705791,21.84109673,19.33685014
NaturaPet,11.99067694,11.64566332,11.76072574,11.78178561,11.65572169,14.68330162,12.01371774,12.06344267,12.9937467,11.96446553,16.22295255,13.98562921,15.83020716,15.91393076,11.82864592,14.16387375,16.3394304,16.33131342,0,12.40422845,11.62684487,12.49172447,12.10355442,11.50311734,11.60754446,11.29542445,16.61447201,17.7116397,16.72389512,12.34979825,16.72271545,13.93664144,13.58430096,18.75046012,15.67680645,20.62667834,13.16622561,15.08171731,18.63319254,18.5987905,14.38895448,16.78159818,13.98872176
ZoologicodeEsculturasJuegos,24.65479882,11.97905121,11.20015232,36.07484949,29.95023331,15.491692,25.56052176,22.74203505,11.006908,24.60173152,14.01206401,11.64936053,13.60612904,13.69379868,11.69783692,14.79815902,14.12895572,14.12864973,12.40422845,0,11.62911602,9.652241146,11.06566692,36.20487615,11.96769574,11.23534982,14.8662011,16.06872342,18.40064646,36.82919547,17.8975702,12.33778784,14.19599814,19.91118192,17.08632469,22.54003438,14.37214416,17.00010621,17.03792495,20.06981705,15.8091551,17.94197376,15.29505365
ParqueRevolucion,11.04012592,16.67109468,19.39754826,28.3409,11.18799329,13.94698755,11.01317084,11.0977692,12.59425698,11.04554604,15.61041131,13.22370367,15.20346183,15.29171891,12.12385352,13.28545761,15.72647056,15.7288659,11.62684487,11.62911602,0,11.76669224,28.5181559,36.43654017,16.30951711,11.49320713,16.47679147,17.6681119,16.77394897,12.23765425,16.30232598,13.8729183,12.6697965,18.32797947,15.46092618,20.93178874,12.7457249,15.41507104,18.63292694,18.44610889,14.18047725,16.34940783,13.66902534
ParqueMorelos,29.22123585,12.1167465,11.33849473,11.06856244,33.03076379,15.63063106,30.17858459,27.36407031,34.00921168,29.11226122,13.88428108,11.53151139,13.47882798,13.56630744,11.8372132,14.9364899,14.00128413,14.00040155,12.49172447,9.652241146,11.76669224,0,11.20389317,11.04674947,12.10495581,11.28732655,14.72663411,15.92926585,18.53674926,34.21760935,18.03713497,12.20348531,14.33481377,20.05063018,17.22495813,22.67234299,14.51055969,17.12986865,16.89854423,20.20867508,15.94705641,18.08152898,15.43356096
ParqueAlcalde,23.49150696,11.02206571,16.6964349,18.29152182,36.963063,14.42777127,21.77702513,24.07085499,12.07208974,24.38910717,14.95002852,12.56274864,14.54356058,14.63195034,27.92914169,13.7325973,15.06519999,15.06952977,12.10355442,11.06566692,28.5181559,11.20389317,0,32.72280835,11.02373953,11.47807297,15.92212671,17.12907489,17.41826196,11.87481855,16.84420786,13.39820556,13.13158928,18.85220585,16.06408454,21.6016442,13.36018185,16.10337064,18.09930034,19.0408496,14.80296369,16.88737754,14.27831416
ParqueAguaAzul,21.60245008,11.26372056,26.42268085,19.45358352,13.6552482,14.88302876,22.70081855,23.90911165,11.75368422,20.60544873,14.91568417,12.5780696,14.51203358,14.59889836,11.10462644,14.22740676,15.03287832,15.03028813,11.50311734,36.20487615,36.43654017,11.04674947,32.72280835,0,11.23938958,26.59617796,15.61557252,16.78981689,17.58026037,11.30864022,17.21092012,12.97071389,13.61130312,19.24262639,16.32600677,21.67377998,13.61916529,16.11838283,17.74843128,19.3113995,15.03133384,17.26000147,14.53822651
ParqueExpiatorio,11.37832352,6.29125196,30.70429034,11.03711377,11.49343786,13.64517917,11.3521943,11.43676122,12.92690408,11.38278512,15.94830476,13.5610209,15.54136024,15.62964327,17.14245607,12.99851321,16.06427444,16.06688683,11.60754446,11.96769574,16.30951711,12.10495581,11.02373953,11.23938958,0,11.72925914,16.80954464,17.99801309,16.43468209,12.54629801,15.97902724,14.19504196,12.3819178,18.00786374,15.12558832,20.59428084,12.41041755,15.08262559,18.96158982,18.11133253,13.84297217,16.02703673,13.33365545
ParquedeLaLiberacion,11.0584831,11.76108151,11.27443802,11.0811387,24.27832752,15.34266765,11.10659424,11.10824333,11.69834444,11.02267994,14.92760363,12.71410771,14.53483714,14.61851512,11.68426086,14.71765345,15.04411747,15.03615925,11.29542445,11.23534982,11.49320713,11.28732655,11.47807297,26.59617796,11.72925914,0,15.39625249,16.53072892,17.82070198,11.06703413,17.59546636,12.71137142,14.10219462,19.63325045,16.6468557,21.82774023,13.98036668,16.26486185,17.47255069,19.61912307,15.34469622,17.64816542,14.88044572
