,Museo Regional de Guadalajara,MUSA Museo de las Artes Universidad de Guadalajara,Museo de la Ciudad de Guadalajara,Museo Palacio Ocampo,Museo de Paleontología de Guadalajara,Museo de Arte de Zapopan,Casa Museo López Portillo,Museo de las Artes Populares de Jalisco,Museo del Ejército y Fuerza Aérea,Museo De Sitio Del Palacio De Gobierno,Zoológico Guadalajara,El Tejaban,Acuario del Zoológico Guadalajara,"Antártida, el reino de los pingüinos",Zoológico,Parque Villa Fantasía,Villa Australiana,"Herpetario, la tierra de los reptiles y anfibios.",Natura Pet,Zoológico de Esculturas - Juegos,Parque Revolución,Parque Morelos,Parque Alcalde,Parque Agua Azul,Parque Expiatorio,Parque de La Liberación,Parque San Jacinto,Parque Jardines del Nilo,Parque la Calma,Parque González Gallo,Andares Centro Comercial,Fórum Tlaquepaque,Centro Comercial Plaza Patria,Plaza Real Center,La Gran Plaza Fashion Mall,Punto Sur,Centro Magno,Centro Sur,Centro Comercial Plaza Lomas,Plaza Galerías Guadalajara,Hotel Riu Plaza Guadalajara,Hyatt Regency Andares Guadalajara,Fiesta Americana Guadalajara
Zoológico Guadalajara,14.592150094975800,15.953888249794500,15.179434216397600,14.932731137588900,14.680187352350000,19.21219684400240,14.609103665668500,14.526148176157000,13.229772559743000,14.595664714396,0.0,12.388218605633100,18.56498468714860,15.624294016358600,15.636107729221000,18.491343554095900,8.907289158193670,9.036268011085630,16.222952545377700,14.012064005809500,15.610411311047700,13.88428107838240,14.950028516179300,14.915684169112100,15.948304758688500,14.927603630715200,11.97183666737780,12.998959007878300,22.367918254033200,13.886556199653900,21.68398926198440,12.628056893821600,17.940317416695800,23.637969652459900,20.990931493487600,26.542095840942600,18.30450616396350,21.011300723590600,13.869962281896300,23.94859296853470,19.74697005307830,21.720009038810100,19.21658049771520
El Tejaban,12.215659184526400,13.566130613212800,12.79352208176450,12.552960104997600,12.362257772478900,16.88671531722500,12.229022463651600,12.147322110291500,11.125170519916300,12.22196896731130,12.388218605633100,0.0,11.981440520774000,12.069808657662900,13.24812949162370,16.170556701674200,12.503841454578600,12.507356237220700,13.985629213829100,11.649360529448100,13.223703670863800,11.53151139487880,12.562748642607100,12.578069596619600,13.56102090130330,12.7141077093719,13.55468035293340,14.777109532449700,19.981002239636100,11.808033277457400,19.34480119767840,11.692954004257300,15.600353345338200,21.3238671509051,18.615608573535500,24.15529867235480,15.920593292768900,18.632065756120100,15.74512846800060,21.58295391586350,17.363496746286800,19.383718322012900,16.835614937814100
Acuario del Zoológico Guadalajara,14.1856003173265,15.546966278807200,14.772492182112400,14.526038346512300,14.277902756751500,18.815924492247600,14.202367502448900,14.119466092547100,12.836502057066200,14.189276150749400,18.56498468714860,11.981440520774000,0.0,7.94634904009806,15.229461822362100,18.095526198082800,22.441393626025200,22.532360777859200,15.830207158489500,13.606129044727600,15.203461829927300,13.478827978822100,14.543560584291300,14.512033584385800,15.54136023796780,14.534837141287400,12.128875803165500,13.23881948910750,21.96163095408800,13.500828317859500,21.286095241864800,12.318798266841700,17.541501191210800,23.24442693066620,20.586942527632600,26.135152554348100,17.89882905456520,20.604886781877600,14.144853937006800,23.54646104274740,19.341420758692900,21.32258727529310,18.81149255959770
"Antártida, el reino de los pingüinos",14.273547181624300,15.635277118800500,14.860720314599800,14.61406268638690,14.364327874084100,18.902902159095100,14.290417145222000,14.207483782208200,12.9201880659917,14.277144822600700,15.624294016358600,12.069808657662900,7.94634904009806,0.0,15.317842850193800,18.182418742954500,19.508361602214500,19.586091047886900,15.913930763238100,13.693798679697100,15.291718914539500,13.566307440561300,14.631950340874900,14.59889835998350,15.629643272825900,14.618515119398300,12.084731625854800,13.180093403461200,22.050020983889700,13.582498635257600,21.373361866465500,12.38012260092560,17.62890120276010,23.330953009781700,20.6751295612051,26.223382397658700,17.987189382664500,20.69277466189030,14.079863815509000,23.634399848971800,19.42977204364000,21.40977492304330,18.899802057266000
Zoológico,11.119583856944300,16.720156053874300,22.08225450074320,31.578414267671600,11.336297482825100,13.821547407193100,11.084104626945400,11.167675598341000,12.685767757693400,11.131376067513700,15.636107729221000,13.24812949162370,15.229461822362100,15.317842850193800,0.0,13.147030879836200,15.751471773836100,15.755417167757500,11.82864591761380,11.69783692230780,12.123853523054100,11.837213199544900,27.92914169191780,11.104626442179900,17.142456070604200,11.684260862905400,16.562298530899000,17.760749541553400,16.733659605980400,12.373690044233300,16.203678196237600,13.98484217752520,12.534306702842700,18.222774317560900,15.392838586975700,20.91377283475590,12.682342036960500,15.419249652790100,18.728136994503000,18.374247023692600,14.123787101350400,16.249075859215100,13.603421032385600
Parque Villa Fantasía,14.248831468678200,12.970260445217700,13.657726070883700,13.942158900933000,14.473165095895100,29.06203647609600,14.206797336090100,14.286463854555300,15.80377679408840,14.265327481863600,18.491343554095900,16.170556701674200,18.095526198082800,18.182418742954500,13.147030879836200,0.0,18.60066916295540,18.61241190452150,14.163873753204900,14.798159020496300,13.285457606213000,14.936489902261000,13.732597297118900,14.227406760263500,12.998513210606800,14.717653450508200,19.64170666253450,20.854554409286500,14.260530878512800,15.51927443997480,13.19957995447140,17.122222314100500,25.553906089944700,15.153522351652500,12.717247945805100,18.514059139134100,11.286030396132800,13.686401672137000,21.826036366750000,15.521242725503800,11.837339473005700,13.232489633241700,11.398364657983200
Villa Australiana,14.708792844003700,16.069746676886600,15.295580113112900,15.0492737865196,14.79740577404440,19.321694631673200,14.725608342049600,14.642699176788500,13.346419904844000,14.712393555453200,8.907289158193670,12.503841454578600,22.441393626025200,19.508361602214500,15.751471773836100,18.60066916295540,0.0,6.402049788519420,16.33943040201610,14.128955715690900,15.726470561608200,14.001284129155000,15.065199990500400,15.032878315554800,16.06427444214610,15.044117470669500,11.956595491264300,12.951606031890700,22.482848408422100,14.002238449357200,21.79415331137800,12.73079821228390,18.05100356884240,23.746177027017800,21.10421571610150,26.65821960735220,18.418941361001400,21.128024725650800,13.808914038180200,24.0608057410041,19.861295229003500,21.829956815719400,19.330582150976500
"Herpetario, la tierra de los reptiles y anfibios.",14.709482018247800,16.072624169510500,15.297759999109300,15.050297988285300,14.793889657046200,19.33327342012920,14.726764615614000,14.643706403188600,13.339020066517000,14.712762102716200,9.036268011085630,12.507356237220700,22.532360777859200,19.586091047886900,15.755417167757500,18.61241190452150,6.402049788519420,0.0,16.331313418394900,14.128649733837600,15.728865895728600,14.000401549044500,15.069529774332800,15.03028813328040,16.06688682654760,15.036159248818700,11.915281286209500,12.914436855646800,22.487577265102800,13.992215444925400,21.805076771886700,12.708052539566700,18.061391051207500,23.758947113187000,21.11151084977580,26.660387240015300,18.42453212000210,21.128331716180900,13.77477798958520,24.069473020941200,19.86705790689380,21.841096732515100,19.33685014235930
Natura Pet,11.990676944965500,11.645663323812700,11.76072574263850,11.781785606267400,11.65572168587480,14.683301624899800,12.01371773985010,12.063442666020600,12.993746702653400,11.964465532072300,16.222952545377700,13.985629213829100,15.830207158489500,15.913930763238100,11.82864591761380,14.163873753204900,16.33943040201610,16.331313418394900,0.0,12.404228454791600,11.626844871999700,12.491724467133100,12.1035544191487,11.50311733634610,11.607544458089700,11.29542444893080,16.61447201121470,17.711639698418900,16.723895120931300,12.349798245907800,16.722715453743000,13.936641438607400,13.584300960785400,18.750460120334400,15.67680644793010,20.62667833827240,13.166225607567400,15.081717314891900,18.633192535775600,18.598790502578500,14.388954478333600,16.781598183068500,13.988721757594500
Zoológico de Esculturas - Juegos,24.654798823725700,11.979051205011300,11.20015231876820,36.07484949340810,29.950233309727000,15.491692004973200,25.560521759394400,22.74203505479430,11.006908001285700,24.601731518867500,14.012064005809500,11.649360529448100,13.606129044727600,13.693798679697100,11.69783692230780,14.798159020496300,14.128955715690900,14.128649733837600,12.404228454791600,0.0,11.629116024939000,9.652241145946440,11.065666920097800,36.20487615323900,11.967695742044500,11.235349817251000,14.866201101044700,16.06872341607180,18.400646464202100,36.82919547382860,17.897570195512200,12.337787844077900,14.195998142465600,19.91118191750290,17.086324692529300,22.540034380667000,14.372144161586900,17.000106207474100,17.0379249528551,20.06981704814140,15.809155101602800,17.94197375573530,15.295053652673900
