,MuseoRegionaldeGuadalajara,MUSAMuseodelasArtesUniversidaddeGuadalajara,MuseodelaCiudaddeGuadalajara,MuseoPalacioOcampo,MuseodePaleontologiadeGuadalajara,MuseodeArtedeZapopan,CasaMuseoLopezPortillo,MuseodelasArtesPopularesdeJalisco,MuseodelEjercitoyFuerzaAerea,MuseoDeSitioDelPalacioDeGobierno,ZoologicoGuadalajara,ElTejaban,AcuariodelZoologicoGuadalajara,Antartidaelreinodelospinguinos,Zoologico,ParqueVillaFantasia,VillaAustraliana,Herpetariolatierradelosreptilesyanfibios,NaturaPet,ZoologicodeEsculturasJuegos,ParqueRevolucion,ParqueMorelos,ParqueAlcalde,ParqueAguaAzul,ParqueExpiatorio,ParquedeLaLiberacion,ParqueSanJacinto,ParqueJardinesdelNilo,ParquelaCalma,ParqueGonzalezGallo,AndaresCentroComercial,ForumTlaquepaque,CentroComercialPlazaPatria,PlazaRealCenter,LaGranPlazaFashionMall,PuntoSur,CentroMagno,CentroSur,CentroComercialPlazaLomas,PlazaGaleriasGuadalajara,HotelRiuPlazaGuadalajara,HyattRegencyAndaresGuadalajara,FiestaAmericanaGuadalajara
ParqueRevolucion,23.55330746,5.250597623,5.566765991,6.176823954,26.54616559,70.74982208,22.99907213,24.72950142,51.49682471,23.66442621,89.85047221,60.94555185,85.56376647,86.51282018,0.017627696,61.82432144,91.03235432,91.05656335,34.98035989,35.02235298,999,37.53587259,6.185048215,6.47081337,5.200728983,32.48021006,98.27143044,108.5021414,100.9593654,45.71248303,96.64764997,69.79278295,52.68033506,113.5965299,88.30205446,52.22577427,53.85580114,87.82105228,115.8289163,114.4700617,73.70127922,97.08926306,67.10473585
ParqueMorelos,6.216686721,43.67398668,29.51217872,24.13507723,6.364694736,90.05764125,6.257396991,6.129589839,6.397357564,6.211882952,69.94026296,33.20274642,64.5239331,65.71993625,38.80164124,82.62466507,71.44494912,71.43369308,49.86750376,0.014459568,37.53587259,999,26.86327751,23.68908322,43.47301722,28.51265405,80.2395523,93.0561695,115.1327714,6.404073057,111.3970564,45.14049178,75.5994085,50.12625584,104.8617662,55.89339838,77.71167662,104.0560905,102.0582622,50.51630075,93.23125622,111.7373562,88.01534804
ParqueAlcalde,5.903678399,23.18226323,5.254011546,5.449869871,6.485473688,76.72306397,5.778001711,5.942099377,42.91075082,5.96242834,82.7762387,50.99896359,78.10261727,79.14102756,6.157316418,67.95140818,84.05464238,84.10232187,43.44910483,24.07597589,6.185048215,26.86327751,999,6.35401034,23.21670258,32.19340414,92.98579927,104.0493274,106.4724767,39.47046723,101.5810288,63.40784861,59.61938823,117.3895235,94.37332901,53.70722754,62.87679853,94.75299887,111.8731137,118.7033377,81.11490019,101.9604365,74.90930144
ParqueAguaAzul,5.764085793,28.048471,6.080764752,5.572334593,0.019015212,82.02343824,5.848077189,5.931560296,37.3007346,5.680093018,82.39119496,51.24136054,77.72917486,78.75420197,24.86860877,74.28280556,83.69784897,83.66918998,32.66760854,6.464227917,6.47081337,23.68908322,6.35401034,999,27.56799132,6.090022971,89.90340428,101.1002225,107.7950526,28.93009674,104.7433849,57.25810298,66.32912158,120.080105,96.87008679,53.86130149,66.43515247,94.89759142,109.1424808,120.5427848,83.68076133,105.1564434,78.03954814
ParqueExpiatorio,30.28397638,0.006157369,6.27867231,23.49150768,32.48457681,66.78511001,29.77825842,31.40664548,56.60489277,30.37009626,93.24352727,65.64809772,89.13891952,90.04753299,5.31244882,57.67031125,94.3751687,94.40047241,34.62283655,41.10431499,5.200728983,43.47301722,23.21670258,27.56799132,999,36.85780832,101.2749718,111.0957783,97.88266754,50.73803459,93.54491902,73.88216902,48.09266705,111.1717617,84.71717285,51.4428298,48.55633461,84.24636611,118.1545153,111.9648777,69.40294542,94.01358516,62.50452969
ParquedeLaLiberacion,23.92921098,37.43451468,28.25945767,24.39141692,5.95541255,87.05571563,24.90849618,24.94191245,36.29454675,23.19490245,82.52502801,53.36803359,77.99944879,78.98399875,36.03695781,80.13596506,83.82208994,83.73413658,28.67144247,27.48801411,32.48021006,28.51265405,32.19340414,6.090022971,36.85780832,999,87.62282403,98.76649952,109.7137193,24.10388631,107.9179461,53.325706,72.72262807,122.6649973,99.82148913,54.18673718,71.17779477,96.29442148,106.9184291,122.5733056,87.07725696,108.3422163,81.99427986
ParqueSanJacinto,88.12549885,101.4157279,94.30627669,91.54976711,87.20352732,50.84912303,88.48272714,87.60585717,69.91989696,88.02797396,41.17656969,65.5618624,43.88031994,43.12738773,99.05476765,122.7198179,40.91038065,40.18539807,99.52877237,81.8332987,98.27143044,80.2395523,92.98579927,89.90340428,101.2749718,87.62282403,999,27.24357656,56.87824347,75.7850835,56.07036932,52.92484289,118.7609701,59.63559875,54.407528,63.26639983,119.9222006,53.83397371,44.97754705,59.87113264,51.55908228,56.15541117,50.35262679
ParqueJardinesdelNilo,99.77079324,111.2289977,105.0960237,102.6935888,98.76158492,53.60865537,100.0941127,99.34451773,84.16962731,99.67358021,57.67690717,80.81941739,61.16141042,60.32000886,109.2401749,52.04884361,56.97374566,56.41819477,108.8498839,94.4182568,108.5021414,93.0561695,104.0493274,101.1002225,111.0957783,98.76649952,27.24357656,999,58.92634245,88.75808704,58.27144131,69.2096889,50.63985927,61.50869672,56.7385339,64.71112725,50.99064346,56.10823786,6.497657064,61.68737691,54.17278361,58.3498871,53.10825553
ParquelaCalma,109.6376418,97.79835256,104.6980784,106.8846289,109.8481259,66.58935286,109.4445448,110.1090127,120.6712713,109.6560716,55.29311272,124.8811511,54.46604116,54.64856924,100.6005226,74.69095847,55.52165002,55.53100326,100.5132936,114.1352082,100.9593654,115.1327714,106.4724767,107.7950526,97.88266754,109.7137193,56.87824347,58.92634245,999,117.329432,40.69682505,51.26449042,79.19491183,55.56930139,33.68016739,74.7592538,72.30431267,38.83694167,60.46279667,41.99424402,52.14347854,41.59083185,60.26957088
ParqueGonzalezGallo,29.15800638,51.10242272,39.33607034,34.23011713,23.81429254,95.53244498,30.15338909,28.90184749,6.168262582,28.66363551,69.96976327,38.27972946,64.8261765,65.9396097,47.95841087,88.90999482,71.45711851,71.32922339,47.56754319,6.481786066,45.71248303,6.404073057,39.47046723,28.93009674,50.73803459,24.10388631,75.7850835,88.75808704,117.329432,999,115.0047821,35.89740245,82.27026893,51.34113825,108.1329507,56.29954739,82.46513864,105.6515704,98.08901843,51.46827948,96.84898213,115.3629585,92.15571293
AndaresCentroComercial,105.6851995,93.34858207,100.4110817,102.8978561,106.8852826,49.646557,105.3853673,106.0772408,117.6496375,105.7780902,53.88302457,120.7663121,53.02097502,53.2127886,95.71404284,60.60003359,54.11613446,54.13912042,100.5027484,110.3162344,96.64764997,111.3970564,101.5810288,104.7433849,93.54491902,107.9179461,56.07036932,58.27144131,40.69682505,115.0047821,999,50.43110143,68.12399237,42.32563326,27.29336192,90.63836946,66.3855562,57.61945926,59.8904116,47.96918002,47.73677236,0.009778488,53.71502699
ForumTlaquepaque,55.80236649,74.1288598,64.43600843,60.42959634,53.32493709,109.5937475,56.43438812,55.24142456,29.46446322,55.56286257,52.02813299,36.1960289,47.05812646,48.06338915,71.2350223,103.9909158,53.62582469,53.27434182,70.61675254,47.37048233,69.79278295,45.14049178,63.40784861,57.25810298,73.88216902,53.325706,52.92484289,69.2096889,51.26449042,35.89740245,50.43110143,999,98.6147365,54.95676624,120.4334031,59.24608038,99.30556035,118.25185,80.86245914,55.11535688,111.0965454,50.54797493,107.2136164
