,Museo Regional de Guadalajara,MUSA Museo de las Artes Universidad de Guadalajara,Museo de la Ciudad de Guadalajara,Museo Palacio Ocampo,Museo de Paleontología de Guadalajara,Museo de Arte de Zapopan,Casa Museo López Portillo,Museo de las Artes Populares de Jalisco,Museo del Ejército y Fuerza Aérea,Museo De Sitio Del Palacio De Gobierno,Zoológico Guadalajara,El Tejaban,Acuario del Zoológico Guadalajara,"Antártida, el reino de los pingüinos",Zoológico,Parque Villa Fantasía,Villa Australiana,"Herpetario, la tierra de los reptiles y anfibios.",Natura Pet,Zoológico de Esculturas - Juegos,Parque Revolución,Parque Morelos,Parque Alcalde,Parque Agua Azul,Parque Expiatorio,Parque de La Liberación,Parque San Jacinto,Parque Jardines del Nilo,Parque la Calma,Parque González Gallo,Andares Centro Comercial,Fórum Tlaquepaque,Centro Comercial Plaza Patria,Plaza Real Center,La Gran Plaza Fashion Mall,Punto Sur,Centro Magno,Centro Sur,Centro Comercial Plaza Lomas,Plaza Galerías Guadalajara,Hotel Riu Plaza Guadalajara,Hyatt Regency Andares Guadalajara,Fiesta Americana Guadalajara
"Antártida, el reino de los pingüinos",4.273547181624320,5.635277118800460,4.860720314599810,4.61406268638693,4.364327874084090,8.902902159095110,4.290417145222000,4.207483782208200,2.9201880659917000,4.2771448226007100,0.318728820490757,2.0698086576629200,0.08839047120294190,0,5.317842850193770,8.182418742954500,0.43525084806643400,0.43758273143660700,5.913930763238080,3.6937986796970600,5.291718914539500,3.5663074405613200,4.631950340874930,4.59889835998351,5.629643272825940,4.618515119398330,2.0847316258547700,3.1800934034612400,12.050020983889700,3.5824986352575600,11.373361866465500,2.38012260092558,7.6289012027601300,13.330953009781700,10.6751295612051,16.223382397658700,7.987189382664530,10.692774661890300,4.079863815508950,13.63439984897180,9.42977204363995,11.40977492304330,8.899802057265980
Zoológico,1.119583856944340,0.3516046816162290,0.5124676350222950,0.797352428030148,1.3362974828251200,3.8215474071931100,1.084104626945370,1.1676755983410000,2.685767757693370,1.1313760675137200,5.636107729220970,3.24812949162366,5.229461822362060,5.317842850193770,0,3.147030879836210,5.7514717738360900,5.755417167757490,1.8286459176137600,1.6978369223077500,0.21371560569162300,1.8372131995449400,0.6878742507575340,1.1046264421799000,0.3642736821181260,1.6842608629054300,6.562298530898980,7.760749541553390,6.733659605980360,2.3736900442332900,6.203678196237590,3.9848421775251700,2.5343067028426700,8.222774317560850,5.392838586975670,10.91377283475590,2.682342036960500,5.419249652790140,8.728136994503000,8.374247023692600,4.123787101350400,6.249075859215100,3.603421032385600
Parque Villa Fantasía,4.248831468678230,2.9702604452176500,3.657726070883690,3.9421589009329500,4.4731650958951100,0.7218610942828810,4.2067973360901000,4.286463854555330,5.803776794088410,4.265327481863620,8.491343554095880,6.170556701674210,8.095526198082790,8.182418742954500,3.147030879836210,0,8.600669162955410,8.612411904521460,4.163873753204850,4.798159020496270,3.285457606213000,4.936489902261040,3.7325972971189300,4.227406760263520,2.9985132106067600,4.717653450508240,9.64170666253454,10.854554409286500,4.260530878512790,5.519274439974790,3.1995799544714200,7.122222314100500,0.6166171826983410,5.153522351652540,2.7172479458050800,8.514059139134060,1.2860303961327700,3.6864016721370500,11.826036366750000,5.521242725503780,1.8373394730057200,3.232489633241680,1.3983646579832100
Villa Australiana,4.708792844003710,6.069746676886560,5.295580113112890,5.0492737865196,4.79740577404441,9.321694631673180,4.725608342049560,4.642699176788460,3.3464199048439800,4.712393555453190,0.11721867474581000,2.503841454578600,0.5232418087807560,0.43525084806643400,5.7514717738360900,8.600669162955410,0,0.04206149365558250,6.339430402016140,4.128955715690910,5.726470561608170,4.001284129154970,5.065199990500430,5.032878315554820,6.064274442146130,5.044117470669480,1.9565954912643000,2.951606031890670,12.482848408422100,4.002238449357250,11.79415331137800,2.73079821228387,8.05100356884236,13.746177027017800,11.10421571610150,16.65821960735220,8.418941361001420,11.128024725650800,3.8089140381802000,14.060805741004100,9.861295229003520,11.829956815719400,9.330582150976530
"Herpetario, la tierra de los reptiles y anfibios.",4.709482018247770,6.072624169510530,5.297759999109280,5.050297988285290,4.793889657046210,9.333273420129190,4.726764615613960,4.643706403188570,3.339020066517040,4.712762102716210,0.12108804033256900,2.5073562372207400,0.5259708233357770,0.43758273143660700,5.755417167757490,8.612411904521460,0.04206149365558250,0,6.331313418394950,4.128649733837650,5.728865895728580,4.0004015490445200,5.069529774332760,5.03028813328036,6.066886826547570,5.036159248818700,1.9152812862094800,2.914436855646760,12.487577265102800,3.992215444925360,11.805076771886700,2.708052539566750,8.061391051207540,13.758947113187000,11.111510849775800,16.660387240015300,8.424532120002070,11.128331716180900,3.77477798958517,14.069473020941200,9.86705790689376,11.841096732515100,9.336850142359270
Natura Pet,1.990676944965460,1.645663323812670,1.7607257426384900,1.781785606267360,1.6557216858748200,4.683301624899830,2.01371773985014,2.0634426660205600,2.993746702653410,1.9644655320722800,6.2229525453777500,3.985629213829070,5.830207158489510,5.913930763238080,1.8286459176137600,4.163873753204850,6.339430402016140,6.331313418394950,0,2.404228454791640,1.6268448719997500,2.491724467133120,2.1035544191487,1.5031173363461400,1.6075444580897400,1.29542444893083,6.61447201121474,7.711639698418860,6.723895120931280,2.349798245907800,6.722715453743050,3.9366414386074000,3.584300960785380,8.750460120334420,5.676806447930090,10.626678338272400,3.166225607567440,5.081717314891910,8.63319253577558,8.598790502578490,4.388954478333640,6.781598183068510,3.9887217575944900
Zoológico de Esculturas - Juegos,0.5896439647117710,1.9790512050112700,1.2001523187681600,0.9322454848022430,0.7485069992918090,5.491692004973250,0.616815652781833,0.5322610516438300,1.0069080012857100,0.5880519455660250,4.012064005809470,1.6493605294481500,3.606129044727590,3.6937986796970600,1.6978369223077500,4.798159020496270,4.128955715690910,4.128649733837650,2.404228454791640,0,1.6291160249390200,0.13956723437839300,1.0656669200978400,0.9361462845971710,1.967695742044500,1.235349817250980,4.866201101044690,6.068723416071820,8.400646464202140,0.9548758642148580,7.897570195512170,2.3377878440778500,4.195998142465580,9.911181917502910,7.08632469252934,12.540034380667000,4.372144161586940,7.000106207474070,7.0379249528551,10.069817048141400,5.809155101602800,7.941973755735340,5.2950536526739200
Parque Revolución,1.040125920868080,0.3501328403055870,0.43192644791824600,0.7002270000485420,1.1879932897948200,3.946987551011300,1.0131708425300000,1.0977691962711900,2.5942569751890800,1.0455460364667300,5.610411311047720,3.2237036708637900,5.203461829927270,5.291718914539500,0.21371560569162300,3.285457606213000,5.726470561608170,5.728865895728580,1.6268448719997500,1.6291160249390200,0,1.766692243542820,0.7055446769912150,0.9430962050940430,0.3392855133544240,1.4932071271183500,6.47679146584107,7.668111899300860,6.773948971436090,2.2376542488404500,6.302325980291930,3.872918304239000,2.6697964985382900,8.327979470529400,5.460926182944720,10.9317887355418,2.7457249029987300,5.415071038507050,8.632926943440240,8.446108888156890,4.1804772547933500,6.3494078310895,3.669025338748270
Parque Morelos,0.7266370755382390,2.116746501421590,1.3384947316854700,1.0685624370679000,0.8409229136297590,5.630631056603100,0.7553575375903310,0.6709221093493200,0.8702763502844360,0.7233678366793820,3.8842810783823500,1.531511394878760,3.478827978822060,3.5663074405613200,1.8372131995449400,4.936489902261040,4.001284129154970,4.0004015490445200,2.491724467133120,0.13956723437839300,1.766692243542820,0,1.2038931650634000,1.0467494701164500,2.1049558096868800,1.2873265479234600,4.7266341118559000,5.929265853292180,8.536749261650220,0.8765282804301750,8.037134966572360,2.2034853140292500,4.334813767021980,10.050630184743500,7.224958132311520,12.672342988458800,4.510559688080820,7.129868654683890,6.898544234328580,10.208675080250900,5.9470564078542,8.08152897634374,5.433560956146510
Parque Alcalde,0.5547452088267560,1.022065714743740,0.35089304698948100,0.3987456546984020,0.9588918899722300,4.427771273426230,0.5033107537936290,0.572125649832862,2.0720897385480400,0.581673215004213,4.950028516179320,2.5627486426070600,4.543560584291270,4.631950340874930,0.6878742507575340,3.7325972971189300,5.065199990500430,5.069529774332760,2.1035544191487,1.0656669200978400,0.7055446769912150,1.2038931650634000,0,0.8316842504190290,1.0237395277551500,1.4780729671226700,5.92212671415793,7.1290748858560100,7.418261962494180,1.8748185451094400,6.844207856568020,3.3982055586618600,3.131589276448870,8.852205846944640,6.064084543681320,11.601644204710600,3.360181850109970,6.103370640100960,8.09930034301552,9.04084959652914,4.802963688017700,6.887377541744370,4.278314157242490
Parque Agua Azul,0.49807350243528200,1.2637205576924400,0.6426804254346700,0.43360750574832,0.25965744612299400,4.883028762167240,0.5310245565356480,0.5672733494223140,1.7536842228814700,0.46816346184913000,4.915684169112110,2.578069596619620,4.512033584385770,4.59889835998351,1.1046264421799000,4.227406760263520,5.032878315554820,5.03028813328036,1.5031173363461400,0.9361462845971710,0.9430962050940430,1.0467494701164500,0.8316842504190290,0,1.2393895771219700,0.6478853388905820,5.61557251557853,6.789816894728430,7.5802603676237900,1.3086402222934800,7.21092012056203,2.970713885563810,3.6113031170088900,9.24262639394388,6.326006771062200,11.673779980023500,3.619165290386350,6.11838283443055,7.748431282228240,9.311399498928790,5.031333837535810,7.26000146683232,4.538226510955540
Parque Expiatorio,1.3783235234376900,0.03873755878946010,0.7711287102373240,1.037113771590120,1.4934378599614100,3.645179167332090,1.3521943022977300,1.4367612205811200,2.926904076345500,1.3827851188519400,5.948304758688470,3.5610209013032700,5.541360237967780,5.629643272825940,0.3642736821181260,2.9985132106067600,6.064274442146130,6.066886826547570,1.6075444580897400,1.967695742044500,0.3392855133544240,2.1049558096868800,1.0237395277551500,1.2393895771219700,0,1.729259140780340,6.809544636974160,7.998013087353610,6.434682093699670,2.546298009423430,5.979027235216440,4.195041955931380,2.3819178010427500,8.00786374416061,5.125588320963990,10.594280843081600,2.4104175487375200,5.082625589509780,8.961589822664460,8.111332527369540,3.8429721671714900,6.027036729810600,3.333655452270070
Parque de La Liberación,1.0584831011212900,1.7610815145754200,1.2744380151959500,1.0811386956174300,0.5783498256820430,5.342667647041100,1.1065942410080400,1.1082433303683300,1.6983444361153200,1.0226799439578900,4.927603630715150,2.7141077093719000,4.534837141287370,4.618515119398330,1.6842608629054300,4.717653450508240,5.044117470669480,5.036159248818700,1.29542444893083,1.235349817250980,1.4932071271183500,1.2873265479234600,1.4780729671226700,0.6478853388905820,1.729259140780340,0,5.396252491202860,6.530728919584520,7.820701976384650,1.06703412978243,7.595466356965680,2.711371420789410,4.1021946162913500,9.63325045495292,6.646855702378650,11.82774023402180,3.9803666817739400,6.264861848193000,7.472550692775440,9.619123067400350,5.344696224438170,7.648165415821270,4.88044572467602
Parque San Jacinto,5.4440630380276500,6.825468563372090,6.057166254900170,5.777824711283380,5.3565980816240000,10.345516939322300,5.478220723861710,5.394643898026270,3.8827108479657200,5.434764021828430,1.9718366673777900,3.5546803529333800,2.12887580316555,2.0847316258547700,6.562298530898980,9.64170666253454,1.9565954912643000,1.9152812862094800,6.61447201121474,4.866201101044690,6.47679146584107,4.7266341118559000,5.92212671415793,5.61557251557853,6.809544636974160,5.396252491202860,0,1.2230209184683900,13.19014994821050,4.3500915436795900,12.763678738382400,2.6855157018520300,9.04921121336475,14.774305304625700,11.933445503889200,17.22303273637280,9.219267333531940,11.660950278491900,2.193786407644720,14.919716549957900,10.643704681482700,12.80783162925100,10.142052548229900
