,Museo Regional de Guadalajara,MUSA Museo de las Artes Universidad de Guadalajara,Museo de la Ciudad de Guadalajara,Museo Palacio Ocampo,Museo de Paleontología de Guadalajara,Museo de Arte de Zapopan,Casa Museo López Portillo,Museo de las Artes Populares de Jalisco,Museo del Ejército y Fuerza Aérea,Museo De Sitio Del Palacio De Gobierno,Zoológico Guadalajara,El Tejaban,Acuario del Zoológico Guadalajara,"Antártida, el reino de los pingüinos",Zoológico,Parque Villa Fantasía,Villa Australiana,"Herpetario, la tierra de los reptiles y anfibios.",Natura Pet,Zoológico de Esculturas - Juegos,Parque Revolución,Parque Morelos,Parque Alcalde,Parque Agua Azul,Parque Expiatorio,Parque de La Liberación,Parque San Jacinto,Parque Jardines del Nilo,Parque la Calma,Parque González Gallo,Andares Centro Comercial,Fórum Tlaquepaque,Centro Comercial Plaza Patria,Plaza Real Center,La Gran Plaza Fashion Mall,Punto Sur,Centro Magno,Centro Sur,Centro Comercial Plaza Lomas,Plaza Galerías Guadalajara,Hotel Riu Plaza Guadalajara,Hyatt Regency Andares Guadalajara,Fiesta Americana Guadalajara
Zoológico Guadalajara,275.52900569854600,357.2332949876720,310.7660529838560,295.963868255336,280.8112411409980,552.7318106401450,276.54621994010900,271.5688905694220,193.7863535845780,275.73988286376,0.0,143.29311633798400,24.416972436867400,19.12372922944540,338.1664637532580,509.4806132457530,7.033120484748610,7.26528241995414,373.3771527226650,240.72384034856800,336.62467866286300,233.05686470294100,297.00171097075900,294.9410501467270,356.8982855213080,295.6562178429090,118.31020004266700,179.9375404726980,742.0750952419920,233.19337197923400,701.039355719061,157.68341362929700,476.41904500174800,818.278179147592,659.4558896092560,992.5257504565570,498.27036983780900,660.6780434154350,232.1977369137780,836.9155781120840,584.8182031847000,703.2005423286060,552.9948298629130
El Tejaban,132.93955107158300,213.96783679277100,167.61132490587200,153.17760629985500,141.73546634873300,413.2029190334980,133.74134781909800,128.83932661749100,67.5102311949753,133.31813803868000,143.29311633798400,0.0,118.88643124644000,124.18851945977500,194.8877694974200,370.23340210045200,150.2304872747160,150.44137423324500,239.13775282974400,98.96163176688890,193.42222025182800,91.89068369272570,153.76491855642400,154.6841757971770,213.6612540781960,162.84646256231400,213.2808211760030,286.62657194698400,598.8601343781680,108.48199664744100,560.6880718607050,101.57724025543900,336.02120072029000,679.4320290543060,516.9365144121330,849.3179203412890,355.23559756613100,517.923945367208,344.70770808003800,694.9772349518080,441.80980477720700,563.0230993207730,410.1368962688470
Acuario del Zoológico Guadalajara,251.13601903959,332.8179767284340,286.3495309267450,271.56230079073900,256.6741654050920,528.9554695348560,252.14205014693200,247.16796555282800,170.19012342397500,251.35656904496300,24.416972436867400,118.88643124644000,0.0,5.303428272176510,313.7677093417240,485.73157188496800,31.394508526845400,31.55824940014660,349.8124295093710,216.36774268365500,312.2077097956360,208.72967872932300,272.61363505747600,270.72201506314600,332.48161427806700,272.09022847724200,127.732548189933,194.3291693464490,717.6978572452780,210.049699071567,677.1657145118900,139.12789601050100,452.49007147264600,794.6656158399720,635.2165516579570,968.1091532608860,473.9297432739140,636.2932069126590,248.6912362204070,812.7876625648460,560.4852455215740,679.3552365175840,528.6895535758630
"Antártida, el reino de los pingüinos",256.4128308974590,338.1166271280280,291.64321887598900,276.8437611832160,261.85967244504600,534.1741295457060,257.4250287133200,252.4490269324920,175.211283959502,256.62868935604300,19.12372922944540,124.18851945977500,5.303428272176510,0.0,319.0705710116260,490.94512457727000,26.11505088398610,26.254963886196400,354.8358457942850,221.62792078182400,317.50313487237000,213.97844643367900,277.91702045249600,275.9339015990110,337.77859636955700,277.1109071639,125.08389755128600,190.80560420767400,723.0012590333820,214.94991811545400,682.4017119879300,142.8073560555350,457.73407216560800,799.8571805869040,640.507773672306,973.4029438595210,479.23136295987200,641.5664797134190,244.7918289305370,818.0639909383070,565.786322618397,684.586495382595,533.988123435959
Zoológico,67.17503141666030,21.096280896973800,30.74805810133770,47.84114568180890,80.17784896950710,229.29284443158700,65.04627761672230,70.06053590045990,161.14606546160200,67.88256405082350,338.1664637532580,194.8877694974200,313.7677093417240,319.0705710116260,0.0,188.82185279017300,345.0883064301660,345.3250300654490,109.71875505682600,101.87021533846500,12.822936341497400,110.2327919726960,41.27245504545200,66.27758653079380,21.856420927087600,101.05565177432600,393.73791185393900,465.64497249320400,404.0195763588220,142.4214026539980,372.2206917742550,239.09053065151000,152.05840217056000,493.3664590536510,323.57031521854000,654.8263700853540,160.94052221763000,325.15497916740800,523.6882196701800,502.4548214215560,247.42722608102400,374.9445515529060,216.20526194313600
Parque Villa Fantasía,254.929888120694,178.21562671305900,219.46356425302200,236.52953405597700,268.38990575370700,43.31166565697290,252.40784016540600,257.1878312733200,348.2266076453050,255.91964891181700,509.4806132457530,370.23340210045200,485.73157188496800,490.94512457727000,188.82185279017300,0.0,516.0401497773250,516.7447142712870,249.83242519229100,287.88954122977600,197.1274563727800,296.1893941356630,223.95583782713600,253.64440561581100,179.9107926364060,283.0592070304950,578.5023997520720,651.2732645571920,255.63185271076800,331.15646639848700,191.97479726828500,427.33333884603000,36.99703096190050,309.21134109915300,163.0348767483050,510.84354834804400,77.16182376796640,221.18410032822300,709.5621820049980,331.2745635302270,110.24036838034300,193.94937799450100,83.90187947899270
Villa Australiana,282.5275706402230,364.18480061319300,317.73480678677400,302.956427191176,287.84434644266500,559.3016779003910,283.5365005229740,278.5619506073080,200.78519429063900,282.7436133271920,7.033120484748610,150.2304872747160,31.394508526845400,26.11505088398610,345.0883064301660,516.0401497773250,0.0,2.52368961933495,380.3658241209690,247.73734294145400,343.5882336964900,240.07704774929800,303.91199943002600,301.97269893328900,363.8564665287680,302.64704824016900,117.39572947585800,177.09636191344000,748.9709045053240,240.13430696143500,707.6491986826780,163.8478927370320,483.06021413054200,824.77062162107,666.2529429660880,999.4931764411330,505.13648166008500,667.6814835390450,228.53484229081200,843.648344460246,591.6777137402110,709.7974089431630,559.834929058592
"Herpetario, la tierra de los reptiles y anfibios.",282.5689210948660,364.3574501706320,317.86559994655700,303.01787929711700,287.6333794227730,559.9964052077510,283.6058769368380,278.622384191314,200.3412039910220,282.76572616297300,7.26528241995414,150.44137423324500,31.55824940014660,26.254963886196400,345.3250300654490,516.7447142712870,2.52368961933495,0.0,379.8788051036970,247.71898403025900,343.73195374371500,240.02409294267100,304.17178645996500,301.81728799682200,364.01320959285400,302.16955492912200,114.91687717256900,174.86621133880600,749.2546359061700,239.53292669552200,708.3046063132010,162.48315237400500,483.6834630724520,825.5368267912210,666.6906509865490,999.623234400917,505.47192720012400,667.6999029708520,226.4866793751100,844.1683812564720,592.0234744136260,710.4658039509080,560.2110085415560
Natura Pet,119.44061669792800,98.73979942876000,105.64354455830900,106.90713637604100,99.34330115248930,280.99809749399000,120.8230643910080,123.80655996123400,179.62480215920500,117.8679319243370,373.3771527226650,239.13775282974400,349.8124295093710,354.8358457942850,109.71875505682600,249.83242519229100,380.3658241209690,379.8788051036970,0.0,144.25370728749800,97.6106923199849,149.50346802798700,126.213265148922,90.1870401807684,96.45266748538410,77.7254669358498,396.8683206728840,462.6983819051310,403.43370725587700,140.98789475446800,403.36292722458300,236.1984863164440,215.05805764712300,525.0276072200650,340.6083868758060,637.600700296345,189.97353645404700,304.90303889351500,517.9915521465350,515.9274301547090,263.33726870001900,406.8958909841100,239.32330545567000
Zoológico de Esculturas - Juegos,35.378637882706300,118.74307230067600,72.00913912608960,55.934729088134600,44.91041995750850,329.50152029839500,37.00893916691000,31.935663098629800,60.41448007714280,35.28311673396150,240.72384034856800,98.96163176688890,216.36774268365500,221.62792078182400,101.87021533846500,287.88954122977600,247.73734294145400,247.71898403025900,144.25370728749800,0.0,97.74696149634090,8.374034062703590,63.94001520587070,56.16877707583030,118.06174452267000,74.12098903505900,291.9720660626820,364.1234049643090,504.03878785212800,57.29255185289150,473.8542117307300,140.26727064467100,251.75988854793500,594.6709150501750,425.1794815517600,752.4020628400200,262.3286496952160,420.00637244844400,422.27549717130600,604.1890228884820,348.5493060961680,476.5184253441210,317.70321916043500
